study_id,pubmed_id
1441,33959800.0
6644,
7573,33267926.0
8498,
8991,
7415,31397251.0
6358,23676198.0
5954,33615749.0
1736,
8496,36419181.0
5346,36167246.0
3017,31931272.0
8176,
9442,36181911.0
4977,34839364.0
7216,37409159.0
2118,37798662.0
3926,
2162,34235612.0
78,25122038.0
5343,36636839.0
1685,22190250.0
4579,8122957.0
2473,
159,
162,
1670,36620306.0
9420,
1229,36963514.0
5082,22858219.0
5917,25689570.0
660,
8747,27656788.0
4581,16395307.0
1438,28922734.0
9171,30653192.0
5564,33991996.0
5910,
9496,28424861.0
7207,28422805.0
7378,35492018.0
6098,
1139,37491833.0
4494,
8370,33781107.0
633,35051953.0
9589,32056760.0
6445,
76,
6068,
1787,
4711,12065963.0
5024,32948309.0
997,9447860.0
668,37273242.0
1444,32419678.0
6038,
3682,33680344.0
6194,
687,19535988.0
1530,
9381,32812388.0
1462,33386430.0
9340,28357557.0
1776,23670916.0
9568,30852364.0
5249,29666578.0
4694,25691504.0
4816,34183351.0
4999,37199914.0
6019,
6869,34806165.0
8412,33809766.0
5706,30116859.0
6375,28067693.0
6740,16220331.0
8948,
4731,15719220.0
7224,30094160.0
2955,
635,
4783,36871913.0
7090,
4005,
1507,35727042.0
7456,29387009.0
6058,
2413,
6012,
3371,22302890.0
637,30062577.0
5048,31430662.0
5995,
5625,12909392.0
2373,37738705.0
9521,33579768.0
6224,
6282,
4633,
8143,36173202.0
5375,30336852.0
562,28477497.0
3995,23475029.0
6295,
4653,29348651.0
1052,35272210.0
254,27387226.0
6322,9885791.0
914,29515439.0
185,31633254.0
3821,25400146.0
9591,30157913.0
6025,
4708,37396782.0
1041,36331048.0
7049,
5828,29392371.0
290,35688035.0
1432,32726408.0
6998,36630183.0
8048,
9505,31798447.0
6646,29903051.0
1803,24480515.0
262,35891578.0
6954,29742583.0
5624,11981237.0
2817,32648790.0
5987,37337526.0
224,
6419,29938565.0
6380,22890117.0
4683,8526975.0
8342,22363492.0
3217,31415914.0
9542,
2137,30102078.0
9379,37442447.0
8320,8297217.0
4573,15309376.0
7105,28744219.0
4582,16143730.0
1805,24035344.0
7056,
1347,28922961.0
1351,37558912.0
6714,21318566.0
6665,35179622.0
7587,
6527,35188952.0
1822,35095617.0
6366,29501990.0
9446,21456632.0
2227,18305926.0
7520,
1987,36516137.0
7890,
846,
7243,
3896,36569662.0
1886,31231276.0
